NAME,TITLE_EN,TITLE_RU,PRICE,PRICE_CURRENCY,DESCRIPTION_EN,DESCRIPTION_RU
xl,Bigger item card,Большая карточка,200,RUB,This promotion makes your item stand out from the rest in search result. Add at least 3 photos for better result.,Выделяет ваш товар среди остальных в результатах поиска. Добавьте как минимум 3 фотографии для лучшего результата.
price,Price highlighting,Выделение цены,100,RUB,This promotions makes your item price more noticeable.,Делает цену вашего товара более заметной.
